source,target
A12195-1,A18005-0
A12195-1,A18012-1
A12195-1,A50377
A12201-0,A48293-0
A12201-0,A667-0
A12207-3,A15955-0
A12207-3,A17905-2
A12209-0-1,A16841
A12209-0-1,A22412
A12209-0-1,A26602
A12209-0-1,A30018-0
A12209-0-1,A32046-1
A12209-0-1,A4458
A12209-1,A29865
A12209-1,A42682
A12209-1,A49687-7
A12209-1,A52163-1
A12209-1,A8004-11
A12213-1,A52357-0-1
A12224-0,A14674-0
A12224-0,A6433-0
A12239-0,A32347-0
A12240,A48512-0
A12247-0,A12249-0
A12247-0,A30932-0
A12247-0,A37823
A12247-0,A44854-0
A12247-0,A50090
A12249-0,A30932-0
A12249-0,A37823
A12249-0,A44854-0
A12249-0,A50090
A12271-0,A19150-0
A12271-0,A22131
A12272-0,A9400-0
A12273-0,A22332-0
A12273-0,A28390-1
A12273-1,A22332-0
A12273-1,A49508-0
A12302-0,A14917
A12302-0,A22297-0
A12302-0,A32399-0
A12302-0,A34239-2
A12302-0,A40829-0
A12302-0,A41630-2
A12302-0,A41841-0
A12302-0,A47612-0
A12302-0,A49622-0
A12302-0,A9494-0
A12337-0,A30661-2
A12337-0,A35926-0
A12337-0,A5577-0
A12337-1,A27693-0
A12337-1,A36983-0
A12353-0,A20256-0
A12353-0,A32399-0
A12353-0,A4732-0
A12353-1,A44263-0
A1236-0,A15566-0
A12375,A2104
A12375,A25790-0
A12375,A29681
A12375,A35449-0
A12375,A40809-0
A12401-0,A24436-0
A12401-0,A33784-0
A12401-0,A44945
A12401-0,A50842
A12402-0,A12447
A12402-0,A13123-0
A12402-0,A13128-0
A12402-0,A15135-0
A12402-0,A15955-0
A12402-0,A16477
A12402-0,A17739-0
A12402-0,A17853
A12402-0,A1903-0
A12402-0,A19601-0
A12402-0,A19601-2
A12402-0,A20053-0
A12402-0,A22205-0
A12402-0,A22205-1
A12402-0,A23592-2
A12402-0,A25395-0
A12402-0,A25404-0
A12402-0,A25404-2
A12402-0,A26499-1-0
A12402-0,A27009-6-1
A12402-0,A27228-0
A12402-0,A27228-16
A12402-0,A27295
A12402-0,A2752
A12402-0,A27545-2
A12402-0,A2762
A12402-0,A27955-0
A12402-0,A280-2
A12402-0,A28046-0
A12402-0,A2938-3
A12402-0,A32475-1
A12402-0,A33971-0
A12402-0,A34957-0
A12402-0,A35173
A12402-0,A35416-1
A12402-0,A35608-0
A12402-0,A35608-1
A12402-0,A35811-0
A12402-0,A36602-0
A12402-0,A36602-2
A12402-0,A38307-0
A12402-0,A38645-0
A12402-0,A38767-2
A12402-0,A39446-0
A12402-0,A41112-1
A12402-0,A41346-0
A12402-0,A43166-0
A12402-0,A44339-1
A12402-0,A44352
A12402-0,A4455-0
A12402-0,A4455-2
A12402-0,A4455-6
A12402-0,A44936
A12402-0,A4570-1
A12402-0,A45858-8
A12402-0,A46830-0
A12402-0,A49232-1
A12402-0,A49676-4
A12402-0,A50218-0
A12402-0,A50853-0
A12402-0,A51112
A12402-0,A51195-0
A12402-0,A51345-24
A12402-0,A51360-0-4
A12402-0,A51871-0
A12402-0,A52346-3-1
A12402-0,A52365-1
A12402-0,A52370-0-2
A12402-0,A6732-0
A12402-0,A6926-0
A12402-0,A7118
A12402-0,A8009-24
A12402-0,A8523-4
A12402-0,A8910
A12402-1,A51360-32
A12424-1,A48917-0
A12429-0,A17288-0
A12429-0,A30778-0
A12439,A1874-0
A12439,A6940-0
A12447,A49232-1
A12451,A18527
A12451,A28136
A12451,A35485
A12451,A46546-5
A12451,A6091-0
A12451,A9157
A12455,A24636-0
A12457-0,A22759-0
A12457-0,A4325-1
A12472-1,A25332-1
A12472-1,A27751-0
A12500-5,A31688-0
A12537-1,A34799-0
A12559,A3548
A12559,A38646-0
A12559,A51825-0
A12559,A52486-0
A12559,A6716-0
A12559,A9399-0
A12576-0,A46103-0
A12581-0,A19979-0
A12581-0,A22283-0
A12581-0,A25792-1
A12586-0,A2175-0
A12586-0,A39001-0
A12586-0,A44671-0
A12617-0,A31617-0
A12617-0,A3414-0
A12617-0,A51607-0
A12627-0,A9047-0
A12640-0,A21165-0
A12640-0,A2214-0
A12641-0,A13840-0
A12641-0,A23861-0
A12658-0,A2689-1
A12658-0,A51393-2
A12658-0,A52255-53
A1267-0,A50823-0
A12692-1,A26254-0
A12712-0,A18987-0
A12712-0,A22238-0
A12712-0,A24819-0
A12712-0,A44852-0
A12712-0,A46646-0
A12712-0,A47583
A12712-0,A52247-0
A12749-0,A15939
A12749-0,A18874-1
A12749-0,A20701-0
A12749-0,A25811
A12749-0,A32399-0
A12753-0,A19452-0
A12753-0,A51695-0
A12753-0,A9088-0
A12759-0,A16692-1
A12759-0,A16692-3
A12759-0,A22327
A12759-0,A25153-1
A12759-0,A34779-0
A12789-0,A46772-0
A12803-0,A19172-7
A12803-0,A23972
A12803-0,A24944-0
A12803-0,A27010-19
A12803-0,A27015-1-0
A12803-0,A27236-4
A12803-0,A27459-14
A12803-0,A28013
A12803-0,A28536-1
A12803-0,A32510-0
A12803-0,A36751-0
A12803-0,A42101-0
A12803-0,A52341-9
A12803-0,A6737-11
A12803-0,A6737-15
A12803-1,A23733-0
A12803-1,A25716
A12803-1,A6920-0
A12804,A29622-0
A12840,A27925-5
A12840,A31767
A12840,A51813-0-0
A1285,A16317-0
A1285,A17425-0
A1285,A22667-0
A1285,A33061-0
A1285,A33751-0
A1285,A4469-0
A12900-0,A16028-0
A12900-1,A33680-0
A12900-1,A5550-1
A12936,A27026-8-0
A12936,A6744-1
A12961,A43918
A12961,A6940-0
A13003-0,A22180-0
A13003-0,A27226-4
A13003-0,A27426-0
A13003-0,A37978-0
A13003-0,A43024
A13003-0,A46240-0
A13003-0,A52031-0
A13007,A50814-0
A1302-0,A18166-0
A1302-0,A20828-0
A1302-0,A31166-2
A1302-0,A35282
A1302-0,A37687-0
A1302-0,A50943-30
A1302-0,A8426-0
A13028-0,A18422-0
A13028-0,A33066-0
A13028-0,A35037-1
A13028-0,A47292
A13044-1,A2598-1
A13044-1,A28821-0
A13051,A47042-0
A13052,A46103-0
A13052,A49449-0
A13053,A20701-0
A13085-0,A32824-0
A13085-0,A50051-0
A13123-0,A19601-0
A13128-0,A44339-1
A13171-0,A27160-0
A13171-0,A37503-0
A13213,A8159-0
A13221-0,A17905-0
A13221-0,A48486-0
A13221-0,A49729
A13221-0,A6799-0
A13229,A14296-1
A13229,A2945-0
A13229,A49537-2
A13246,A40057-0
A13246,A44616-0
A13254,A36240-0
A13254,A39851
A13254,A6340-0
A13261-0,A42769-1
A13261-0,A51002-0
A13263-0,A17935
A13263-0,A22211-1
A13263-0,A27017-14
A13263-0,A38942
A13264-0,A25003
A13264-0,A29755-0
A13264-0,A46195-2
A13289-0,A48293-0
A13289-0,A7139
A1329-0,A26931-0
A1329-0,A4525-0
A1329-0,A7997-5
A1329-1,A26931-0
A1329-1,A49508-0
A13295,A16737-0
A13295,A17895-0
A13362,A29388-0
A13362,A44255-0
A13382-0,A45291-0
A13382-0,A46380-0
A13409,A36136
A13409,A40950-0
A13415-0,A21231-0
A13415-0,A32007-0
A13415-0,A32253-0
A13417-1,A20648-0-0
A13417-1,A28763
A13417-1,A49678-0-1
A13417-1,A49682-0-2
A13417-1,A6289
A13438-0,A18242-0
A13438-0,A2178-0
A13438-0,A32246-0
A13441-0,A39002-0
A13441-2,A39002-0
A13442-0,A29747
A1352,A27008-6
A1352,A33939-1
A13521-0,A22288-0
A13530-0,A34546-0
A13530-0,A49654-1
A13530-1,A16172-0
A13530-1,A253-0
A13530-1,A31620-0
A13530-1,A369-0
A13530-1,A6699-1
A13530-1,A6970
A13533,A15971-0
A13533,A24015-0
A13534,A18118-0
A13534,A4626-2
A13548-0,A19460-0
A13548-0,A23225-0
A13548-0,A24242-2
A13548-0,A25108-0
A13548-0,A41465-0
A13548-0,A43715-0
A13548-0,A5943-0
A1356,A39316-0
A13576-0,A2089-0
A13576-0,A7180-1
A13585,A14061-0
A13594,A15192-0
A13594,A39936-0
A13610,A26254-2
A13610,A40381-1
A13610,A47708-0
A13610,A50121-0
A13610,A52639-1
A13628-0,A27922-0
A13628-0,A42811-0
A13628-0,A43982-0
A13630-0,A27922-0
A13630-0,A43982-0
A13630-0,A52358-0-4
A13630-4,A14274-0
A13633-1,A13643-2
A13633-1,A13643-7
A13633-1,A13976-2
A13633-1,A13976-6
A13633-1,A1667-0
A13633-1,A17745-5
A13633-1,A18010-0
A13633-1,A18422-0
A13633-1,A18573-0
A13633-1,A18683
A13633-1,A20657-0-0
A13633-1,A20664-0
A13633-1,A22056-0-1
A13633-1,A22056-1
A13633-1,A22107-0
A13633-1,A23342-1
A13633-1,A23342-2
A13633-1,A2348-0
A13633-1,A24570-5
A13633-1,A25716
A13633-1,A25847-0
A13633-1,A25847-2
A13633-1,A27021-2
A13633-1,A27022-0-0
A13633-1,A27022-1
A13633-1,A27027-90
A13633-1,A27076-0
A13633-1,A27076-8
A13633-1,A27224-1-0
A13633-1,A27450-18
A13633-1,A27912-18
A13633-1,A28180-1
A13633-1,A28274-17
A13633-1,A31184
A13633-1,A3328-0
A13633-1,A3328-1
A13633-1,A33558-2
A13633-1,A33624-0
A13633-1,A3449-0
A13633-1,A35953-1
A13633-1,A39097-0
A13633-1,A42592-2
A13633-1,A43982-4
A13633-1,A45263-7
A13633-1,A45269-14
A13633-1,A46933-1
A13633-1,A46933-3
A13633-1,A48801-0
A13633-1,A49668-38
A13633-1,A49677-6-1
A13633-1,A49685-22
A13633-1,A49685-7-0
A13633-1,A49687-108
A13633-1,A49687-18
A13633-1,A50962-2
A13633-1,A51039-1
A13633-1,A51142
A13633-1,A51187-4
A13633-1,A51359-22
A13633-1,A51386-1
A13633-1,A51386-3
A13633-1,A51586
A13633-1,A51788-7
A13633-1,A51788-Unknow0
A13633-1,A51797-3
A13633-1,A52177-1
A13633-1,A52237-0-4
A13633-1,A52243-0-2
A13633-1,A52243-0-3
A13633-1,A52243-Unknow2
A13633-1,A52252-3-1
A13633-1,A52253-0
A13633-1,A52253-20
A13633-1,A52345-0-0
A13633-1,A52356-0-1
A13633-1,A52358-0-4
A13633-1,A52370-0-2
A13633-1,A52384-11
A13633-1,A52556-0
A13633-1,A5469
A13633-1,A5717-0
A13633-1,A5717-1
A13633-1,A592-0
A13633-1,A6737-1
A13633-1,A6748-0
A13633-1,A7232-0
A13633-1,A8021-2
A13633-1,A8030-1-6
A13633-1,A8039-0
A13633-1,A9889-6
A13633-2,A26441-0
A13633-2,A26935-0
A13633-2,A33901-1
A13633-2,A45085-1
A13633-8,A22056-3
A13633-8,A38299-4
A13633-8,A46606
A13643-0-1,A18422-0
A13643-0-1,A20981-0
A13643-1,A22702-0
A13643-1,A43980-1
A13643-1,A47456
A13643-1,A8019-39
A13643-2,A21649-0
A13643-2,A21740
A13643-2,A22056-1
A13643-2,A22107-0
A13643-2,A24577-1
A13643-2,A24577-4
A13643-2,A27010-29
A13643-2,A27010-32
A13643-2,A27022-1
A13643-2,A28180-1
A13643-2,A3328-1
A13643-2,A37908
A13643-2,A45894-0
A13643-2,A51393-0
A13643-2,A52312-4
A13643-2,A6940-0
A13643-7,A22056-1
A13643-Unknow2,A28180-Unknow0
A13650,A22332-0
A13650,A27018-Unknow2
A13650,A27450-18
A13650,A33558-0
A13651-3,A42586-0
A13651-Unknow0,A20292
A13651-Unknow0,A42586-0
A13653-0-2,A45258-1-1
A13655-0,A19168-0
A13655-0,A27022-1
A13655-0,A32296-0
A13655-0,A45136-0
A13655-0,A50334-1
A13655-0,A51344-2
A13655-0,A52235-1
A13663-2,A19227-0
A13681-0,A39864-0
A13681-0,A41567-0
A13691-1,A39864-0
A13691-1,A4134-0
A13691-1,A41419-0
A13698-0,A3310-0
A13723,A17907-0
A13723,A21343
A13723,A30226
A13723,A38645-0
A13723,A50230
A13733,A16321
A13733,A19673-0
A13733,A22217-10
A13733,A23889-9
A13733,A45258-1-1
A13753-0,A1409-0
A13753-0,A1409-1
A13753-0,A19991-0
A13753-0,A22849-0
A13753-0,A43680-0
A13753-0,A47780-3
A13753-0,A50240-0
A1376,A35389-0
A1376,A39266-0
A1376,A5145-1
A13773,A26452
A13773,A2809-0
A13773,A39125-0
A13773,A43400-11
A13773,A49763-0
A1379-0,A18004-2
A1379-0,A27464-1
A13809-0,A20216-0
A13809-0,A2538-0
A13809-0,A2538-1
A13809-0,A27160-0
A13809-0,A3452-0
A13809-0,A35174-0
A13809-0,A37503-0
A13809-0,A38761-1
A13809-0,A46164-0
A13809-0,A47237-0
